authors,title,link,written,premiered,printed,source,id
"Крылов, Иван Андреевич",Подщипа или Трумф,https://dracor.org/rus/krylov-podschipa-ili-trumf,1800,,1859,Wikisource,rus000040
"Крылов, Иван Андреевич",Проказники,https://dracor.org/rus/krylov-prokazniki,1788,,1793,Русская виртуальная библиотека (rvb.ru),rus000132
"Крылов, Иван Андреевич",Сонный порошок или похищенная крестьянка,https://dracor.org/rus/krylov-sonnyj-poroshok,1798,1800,1905,Wikisource,rus000039
"Крылов, Иван Андреевич",Урок дочкам,https://dracor.org/rus/krylov-urok-dochkam,,1807,1807,Wikisource,rus000038
"Лажечников, Иван Иванович",Окопировался,https://dracor.org/rus/lazhechnikov-okopirovalsya,,1854,1855,Библиотека Максима Мошкова (lib.ru),rus000131
"Ленский, Дмитрий Тимофеевич","Хороша и дурна, и глупа и умна",https://dracor.org/rus/lensky-horosha-i-durna,,1833,,Библиотека Максима Мошкова (lib.ru),rus000106
"Лермонтов, Михаил Юрьевич",Маскарад,https://dracor.org/rus/lermontov-maskarad,1836,1852,1842,Интернет-библиотека Алексея Комарова,rus000037
"Лермонтов, Михаил Юрьевич",Menschen und Leidenschaften,https://dracor.org/rus/lermontov-menschen-und-leidenschaften,1830,,1880,Фундаментальная электронная библиотека (ФЭБ),rus000146
"Лермонтов, Михаил Юрьевич",Странный человек,https://dracor.org/rus/lermontov-strannyj-chelovek,1831,1916,1860,Фундаментальная электронная библиотека (ФЭБ),rus000126
"Лесков, Николай Семенович",Расточитель,https://dracor.org/rus/leskov-rastochitel,1867,1867,1867,Русская виртуальная библиотека (rvb.ru),rus000155
"Ломоносов, Михаил Васильевич",Демофонт,https://dracor.org/rus/lomonosov-demofont,1751,,1752,Русская виртуальная библиотека (rvb.ru),rus000036
"Ломоносов, Михаил Васильевич",Тамира и Селим,https://dracor.org/rus/lomonosov-tamira-i-selim,,,1750,Русская виртуальная библиотека (rvb.ru),rus000035
"Майков, Василий Иванович",Агриопа,https://dracor.org/rus/majkov-agriopa,,1769,1775,Русская виртуальная библиотека (rvb.ru),rus000105
"Майков, Василий Иванович",Фемист и Иеронима,https://dracor.org/rus/majkov-femist-i-ieronima,1773,,1775,Русская виртуальная библиотека (rvb.ru),rus000120
"Мамин-Сибиряк, Дмитрий Наркисович",Маленькая правда,https://dracor.org/rus/mamin-sibirjak-malenkaja-pravda,1891,,,Библиотека Максима Мошкова (lib.ru),rus000199
"Мамин-Сибиряк, Дмитрий Наркисович",Золотопромышленники,https://dracor.org/rus/mamin-sibirjak-zolotopromyshlenniki,1886,1887,1887,Библиотека Максима Мошкова (lib.ru),rus000200
"Маяковский, Владимир Владимирович",Баня,https://dracor.org/rus/mayakovsky-banja,1929,1930,1929,Интернет-библиотека Алексея Комарова,rus000034
"Маяковский, Владимир Владимирович",Клоп,https://dracor.org/rus/mayakovsky-klop,1928,1929,1929,Интернет-библиотека Алексея Комарова,rus000091
"Маяковский, Владимир Владимирович",Мистерия-буфф,https://dracor.org/rus/mayakovsky-misteriya-buff,,1921,1921,ФЭБ (feb-web.ru),rus000093
"Мережковский, Дмитрий Сергеевич",Павел первый,https://dracor.org/rus/merezhkovsky-pavel-pervyj,1908,1917,1908,Библиотека Максима Мошкова (lib.ru),rus000164
"Найдёнов, Сергей Александрович",Дети Ванюшина,https://dracor.org/rus/naydyonov-deti-vanjushina,1901,1901,,Wikisource,rus000033
"Некрасов, Николай Алексеевич",Актер,https://dracor.org/rus/nekrasov-akter,,1841,1841,Библиотека Максима Мошкова (lib.ru),rus000145
"Некрасов, Николай Алексеевич",Юность Ломоносова,https://dracor.org/rus/nekrasov-junost-lomonosova,1840,,1902,Библиотека Максима Мошкова (lib.ru),rus000172
"Некрасов, Николай Алексеевич",Шила в мешке не утаишь – девушки под замком не удержишь,https://dracor.org/rus/nekrasov-shila-v-meshke-ne-utaish,,1841,1841,Библиотека Максима Мошкова (lib.ru),rus000158
"Некрасов, Николай Алексеевич",Забракованные,https://dracor.org/rus/nekrasov-zabrakovannye,,,1859,Библиотека Максима Мошкова (lib.ru),rus000135
"Николев, Николай Петрович",Самолюбивый стихотворец,https://dracor.org/rus/nikolev-samolyubivyj-stihotvorec,1775,1781,1787,Библиотека Максима Мошкова (lib.ru),rus000130
"Озеров, Владислав Александрович",Димитрий Донской,https://dracor.org/rus/ozerov-dmitrij-donskoj,1807,1807,,Библиотека Максима Мошкова (lib.ru),rus000086
"Островский, Александр Николаевич",Неожиданный случай,https://dracor.org/rus/ostrovsky-neozhidannyj-sluchaj,1850,1902,1851,Библиотека Максима Мошкова (lib.ru),rus000190
"Островский, Александр Николаевич",Дмитрий Самозванец и Василий Шуйский,https://dracor.org/rus/ostrovsky-dmitrij-samozvanets-i-vasilij-shujskij,1866,1867,1867,Библиотека Максима Мошкова (lib.ru),rus000206
